occupation,soc_code
Commodities Clerks,43-4011
Commodities Sales Agents,41-3031
"Communication Equipment Workers, All Other",27-4099
"Communication Workers, All Other",27-3099
Communications Equipment Operators,43-2000
"Communications Equipment Operators, All Other",43-2099
"Communications Equipment Operators, Miscellaneous",43-2090
"Communications Teachers, Postsecondary",25-1122
Community and Social Service Occupations,21-0000
"Community and Social Service Specialists, All Other",21-1099
"Community and Social Service Specialists, Miscellaneous",21-1090
Community Association Managers,11-9141
Community Development Planners,19-3051
Community Health Education Coordinators,21-1091
Community Health Workers,21-1094
Community Mental Health Social Workers,21-1023
Community Organization Workers,21-1099
Community Service Managers,11-9151
"Community Service Specialists, All Other",21-1099
Compacting Machine Operators,51-9041
Compacting Machine Setters,51-9041
Compacting Machine Tenders,51-9041
"Companions, Elderly ",39-9021
Comparative Sociology Professors,25-1067
Compensation and Benefits Managers,11-3110
Compensation and Benefits Managers,11-3111
Compensation Directors,11-3111
Compensation Managers,11-3111
Compensation Specialists,13-1141
"Compensation, Benefits, and Job Analysis Specialists",13-1140
"Compensation, Benefits, and Job Analysis Specialists",13-1141
Competition Judges,27-2023
"Competitors, Sports",27-2021
Compliance Officers,13-1040
Compliance Officers,13-1041
Composers,27-2041
"Composers, Music",27-2041
Composition Floor Layers,47-2042
Composition Weatherboard Installers,47-2131
Comptrollers,11-3031
Computational Theory Scientists,15-1111
Computed Tomography (CT) Scanner Operators,29-2034
Computed Tomography/Magnetic Resonance Imaging (CT/MRI) Technologists,29-2035 
Computer and Information Analysts,15-1120
Computer and Information Research Scientists,15-1110
Computer and Information Research Scientists,15-1111
Computer and Information Systems Managers,11-3020
Computer and Information Systems Managers,11-3021
Computer and Mathematical Occupations,15-0000
Computer Applications Engineers,15-1132
Computer Control Programmers and Operators,51-4010
Computer Hardware Designers,17-2061
Computer Hardware Developers,17-2061
Computer Hardware Engineers,17-2060
Computer Hardware Engineers,17-2061
Computer Information Systems Professors,25-1021
Computer Laboratory Technicians,15-1199
Computer Language Coders,15-1131
Computer Network Architects,15-1143
Computer Network Engineers,15-1143
Computer Network Support Specialists,15-1152
Computer Numerically Controlled (CNC) Shot Peening Operators,51-4011
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",51-4012
Computer Occupations,15-1100
"Computer Occupations, All Other",15-1199
"Computer Occupations, Miscellaneous",15-1190
Computer Operators,43-9010
Computer Operators,43-9011
Computer Peripheral Equipment Operators,43-9011
Computer Programmers,15-1131
Computer Repairers,49-2011
Computer Research Scientists,15-1111
"Computer Science Teachers, Postsecondary",25-1021
Computer Security Specialists,15-1122
Computer Support Specialists,15-1150
Computer Systems Administrators,15-1142
Computer Systems Analysts,15-1121
Computer Systems Managers,11-3021
Computer Systems Software Architects,15-1133
Computer Training Specialists,13-1151
Computer User Support Specialists,15-1151
"Computer, Automated Teller, and Office Machine Repairers",49-2010
"Computer, Automated Teller, and Office Machine Repairers",49-2011
"Computer-Controlled Machine Tool Operators, Metal and Plastic",51-4011
Concierges,39-6012
"Concierges, Activities",39-6012
"Concierges, Hotel ",39-6012
Conciliators,23-1022
Concrete Batch Plant Operators,51-8099
Concrete Finishers,47-2051
Concrete Floor Installers,47-2051
Concrete Pavement Installers,47-4091
Concrete Paving Machine Operators,47-2071
Concrete Swimming Pool Installers,47-2051
Condominium Association Managers,11-9141
"Conductors, Freight ",53-4031
"Conductors, Orchestra ",27-2041
"Conductors, Railroad",53-4031
"Conductors, Yard ",53-4031
Conference Planners,13-1121
Conservation Enforcement Officers,33-3031
"Conservation Science Teachers, Postsecondary",25-1043
Conservation Scientists,19-1031
Conservation Scientists and Foresters,19-1030
Conservation Technicians,19-4093
Conservation Workers,45-4011
"Conservationists, Grassland ",19-1031
"Conservationists, Soil ",19-1031
"Conservators, Book",25-4013
"Conservators, Document",25-4013
"Conservators, Ethnographic Materials ",25-4013
"Conservators, Museum",25-4013
"Conservators, Textile ",25-4013
Console Operators,43-9011
Constitutional Law Professors,25-1112
Construction and Building Inspectors,47-4010
Construction and Building Inspectors,47-4011
Construction and Extraction Occupations,47-0000
"Construction and Related Workers, All Other",47-4099
"Construction and Related Workers, Miscellaneous",47-4090
Construction Coordinators,11-9021
Construction Craft Laborers,47-2061
Construction Engineers,17-2051
Construction Equipment Mechanics,49-3042
Construction Equipment Operators,47-2070
Construction Health and Safety Technicians,29-9012
Construction Inspectors,47-4011
Construction Job Cost Estimators,13-1051
Construction Laborers,47-2060
Construction Laborers,47-2061
Construction Managers,11-9020
Construction Managers,11-9021
Construction Painters,47-2141
Construction Site Crossing Guards,33-9091
Construction Superintendents,11-9021
"Construction Trades Helpers, All Other",47-3019
Construction Trades Workers,47-2000
"Construction Trades Workers, First-Line Supervisors",47-1011
Construction Trench Diggers,47-2061
"Constructors, Hydraulic Elevator ",47-4021
"Consultants, Business Process ",13-1111
"Consultants, Educational",25-9031
"Consultants, Labor Relations ",13-1075
"Consultants, Licensed Tax ",13-2082
"Consultants, Management",13-1111
"Consultants, Marketing ",13-1161
"Consultants, Political ",19-3094
"Consultants, Travel Service ",41-3041
Contact Lens Fitters,29-2081
Contact Lens Opticians,29-2081
Contemporary English Literature Professors,25-1123
Continuous Mining Machine Lode Miners,47-5041
Continuous Mining Machine Operators,47-5041
Contracting Managers,11-3061
"Contractors, Farm Labor",13-1074
"Contractors, General ",11-9021
"Contractors, Harvesting ",13-1074
"Contractors, Tree Farm",13-1021
Control and Valve Installers and Repairers,49-9010
"Control and Valve Installers and Repairers, Except Mechanical Door",49-9012
"Control and Valve Installers, Except Mechanical Door",49-9012
"Control and Valve Repairers, Except Mechanical Door",49-9012
Control Center Officers,55-1015
Control Center Specialists,55-3015
Control System Computer Scientists,15-1111
Control Tower Operators,53-2021
"Controllers, Air Traffic",53-2021
"Controllers, Enroute ",53-2021
"Controllers, Gas ",51-8092
Convention Planners,13-1121
Conveyor Belt Operators,53-7011
Conveyor Operators,53-7011
Conveyor Operators and Tenders,53-7010
Conveyor Operators and Tenders,53-7011
Conveyor Tenders,53-7011
Cooks,35-2010
Cooks and Food Preparation Workers,35-2000
"Cooks, All Other",35-2019
"Cooks, Banquet ",35-2014
"Cooks, Cafeteria",35-2012
"Cooks, Camp ",35-2012
"Cooks, Falafel Cart ",35-2019
"Cooks, Fast Food",35-2011
"Cooks, Fast Food Fry ",35-2011
"Cooks, Fraternity House ",35-2019
"Cooks, Galley ",35-2012
"Cooks, Griddle ",35-2015
"Cooks, Head",35-1011
"Cooks, Institution",35-2012
"Cooks, Institution and Cafeteria",35-2012
"Cooks, Line ",35-2014
"Cooks, Mess ",35-2012
"Cooks, Private Household",35-2013
"Cooks, Restaurant",35-2014
"Cooks, School ",35-2012
"Cooks, Short Order",35-2015
Cooling and Freezing Equipment Operators and Tenders,51-9193
Cooling Equipment Operators,51-9193
Cooling Equipment Tenders,51-9193
"Coordinators, Alternative Dispute Resolution ",23-1022
"Coordinators, Audio-Visual Collections ",25-9011
"Coordinators, Community Health Education ",21-1091
"Coordinators, Construction ",11-9021
"Coordinators, Emergency Preparedness",11-9161
"Coordinators, Flight Operations ",53-2022
"Coordinators, Instructional",25-9031
"Coordinators, Multimedia Services ",25-9011
"Coordinators, Network ",15-1142
"Coordinators, Residence Life  ",39-9041
"Coordinators, Staffing ",13-1071
"Copilots, Airline",53-2011
Copy Editors,27-3041
Copy Machine Operators,43-9071
Copy Markers,43-9081
Copy Readers,43-9081
Coremakers,51-4071
"Coremaking Machine Operators, Metal and Plastic",51-4072
"Coremaking Machine Setters, Metal and Plastic",51-4072
"Coremaking Machine Tenders, Metal and Plastic",51-4072
Cork Floor Installers,47-2042
Coronary Care Unit Nurses,29-1141
Corporate Counsels,23-1011
Corporate Financial Analysts,13-2051
Corporate Meeting Planners,13-1121
Corporate Securities Research Analysts,13-2051
Corporate Trainers,13-1151
Corporate Travel Experts,41-3041
Corral Bosses,45-1011
Correctional Officers,33-3012
Correctional Officers and Jailers,33-3012
"Correctional Officers, First-Line Supervisors",33-1011
Correctional Treatment Specialists,21-1092
Corrections Sergeants,33-1011
Correspondence Clerks,43-4020
Correspondence Clerks,43-4021
Correspondents,27-3022
"Correspondents, Foreign ",27-3022
Corrugator Operators,51-9196
Corsage Makers,27-1023
Cosmetologists,39-5012
Cosmetology Professors,25-1194
Cost Analysts,13-2031
Cost Estimators,13-1050
Cost Estimators,13-1051
Costume Attendants,39-3092
Costume Designers,27-1022
Cotton Brokers,13-1021
Cotton Graders,45-2041
Counseling Psychologists,19-3031
Counselors,21-1010
"Counselors, Addiction ",21-1011
"Counselors, Alcohol and Drug",21-1011
"Counselors, All Other",21-1019
"Counselors, Anger Control ",21-1019
"Counselors, Behavioral Disorder",21-1011
"Counselors, Camp ",39-9032
"Counselors, Career ",21-1012
"Counselors, Career Technical ",21-1012
"Counselors, Chemical Dependency ",21-1011
"Counselors, Child and Family",21-1013
"Counselors, Chromosomal Disorders ",29-9092
"Counselors, Credit",13-2071
"Counselors, Debt Management ",13-2071
"Counselors, Dormitory ",39-9041
"Counselors, Educational",21-1012
"Counselors, Genetic",29-9092
"Counselors, Grief ",21-1019
"Counselors, Guidance",21-1012
"Counselors, Licensed Clinical Mental Health (LCMHC)",21-1014
"Counselors, Licensed Mental Health (LMHC)",21-1014
"Counselors, Loan ",13-2071
"Counselors, Marriage ",21-1013
"Counselors, Mental Health",21-1014
"Counselors, Mitochondrial Disorders ",29-9092
"Counselors, Prenatal Genetic ",29-9092
"Counselors, Psychosocial Rehabilitation ",21-1015
"Counselors, Rehabilitation",21-1015
"Counselors, School",21-1012
"Counselors, Sexual Assault ",21-1019
"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1000
"Counselors, Substance Abuse",21-1011
"Counselors, Veterans Rehabilitation ",21-1015
"Counselors, Vocational",21-1012
"Counselors, Vocational Rehabilitation ",21-1015
"Counsels, Corporate ",23-1011
Counter and Rental Clerks,41-2021
Counter and Rental Clerks and Parts Salespersons,41-2020
"Counter Attendants, Cafeteria",35-3022
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",35-3022
"Counter Attendants, Coffee Shop",35-3022
"Counter Attendants, Food Concession",35-3022
Counter Clerks,41-2021
County Agricultural Agents,25-9021
"Couplers, Switch ",53-4021
Couples Therapists,21-1013
Couriers,43-5021
Couriers and Messengers,43-5020
Couriers and Messengers,43-5021
"Couriers, Laboratory ",43-5021
Court Bailiffs,33-3011
Court Clerks,43-4031
Court Interpreters,27-3091
Court Reporters,23-2091
Court Security Officers,33-3011
Court Stenographers,23-2091
Court Transcribers,23-2091
"Court, Clerks of ",11-9199
"Court, Municipal, and License Clerks",43-4030
"Court, Municipal, and License Clerks",43-4031
Courtesy Van Drivers,53-3041
"Coverers, Boiler ",47-2132
"Coverers, Pipe ",47-2132
"Coxswains, Assault Boat ",55-3013
Craft Artists,27-1012
"Craftsmen, Command Post ",55-3015
"Craftsmen, In-Flight Refueling ",55-3011
"Craftsmen, Pararescue ",55-3018
"Craftsmen, Space Systems Operations ",55-3017
Cranberry Bog Supervisors,45-1011
Crane and Tower Operators,53-7020
Crane and Tower Operators,53-7021
Crane Oilers,49-9043
Crane Operators,53-7021
Crane Riggers,49-9096
Craps Dealers,39-3011
Crate Builders,51-2099
Crating and Moving Estimators,13-1051
Creative Writing English Professors,25-1123
Credit Analysts,13-2040
Credit Analysts,13-2041
Credit Assessment Analysts,13-2041
Credit Authorizers,43-4041
"Credit Authorizers, Checkers, and Clerks",43-4040
"Credit Authorizers, Checkers, and Clerks",43-4041
Credit Checkers,43-4041
Credit Clerks,43-4041
Credit Counselors,13-2071
Credit Counselors and Loan Officers,13-2070
Credit Rating Checkers,43-4041
Credit Risk Analysts,13-2041
"Crew Members, Air",55-3011
"Crew Members, Armored Assault Vehicle",55-3013
"Crew Members, Artillery",55-3014
"Crew Members, Military Enlisted Tactical Operations and Air/Weapons Specialists, All Other",55-3019
"Crew Members, Missile",55-3014
"Crewmembers, Air and Missile Defense (AMD) ",55-3014
"Crewmembers, Bradley Linebacker",55-3013
"Crewmen, M1A1 Tank ",55-3013
Crime Scene Technicians,19-4092
Criminal Investigators,33-3021
"Criminal Justice and Law Enforcement Teachers, Postsecondary",25-1111
Criminal Justice Social Workers,21-1029
"Criminal Justice Teachers, Postsecondary",25-1111
Criminologists,19-3041
Criminology Professors,25-1111
Crimping Machine Operators for Metal,51-4031
"Critics, Film ",27-3022
Crochet Machine Operators,51-6063
Crop Scouts,45-2099
"Crop, Nursery, and Greenhouse Farmworkers",45-2092
"Crop, Nursery, and Greenhouse Laborers",45-2092
Crossing Guards,33-9091
Crown and Bridge Technicians,51-9081
Crude Testers,19-4041
Cruise Directors,39-7012
Crushing Machine Operators,51-9021
Crushing Machine Setters,51-9021
Crushing Machine Tenders,51-9021
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",51-9021
"Crushing, Grinding, Polishing, Mixing, and Blending Workers",51-9020
Cryptographers,15-2021
Cryptographic Vulnerability Analysts,15-2021
Crystallographers,19-2042
Cue Selectors,27-4032
Cultural Anthropology Professors,25-1061
"Cultural Studies Teachers, Postsecondary",25-1062
Cupola Repairers,49-9045
Curators,25-4012
"Curators, Herbarium ",25-4012
"Curators, Photography and Prints ",25-4012
Curbstone Setters,47-2022
"Curers, Meat ",51-3091
"Curers, Rubber ",51-9051
Curriculum and Assessment Directors,25-9031
Curriculum Specialists,25-9031
Custodial Supervisors,37-1011
"Custodians, Industrial Plant ",37-2011
"Custodians, School ",37-2011
Custom Furriers,27-1022
Custom Sewers,51-6052
Custom T-shirt Embroidery Machine Operators,51-6031
Custom Wood Stair Builders,47-2031
Customer Complaint Clerks,43-4051
Customer Service Representatives,43-4050
Customer Service Representatives,43-4051
"Customizers, Auto Body ",49-3021
Cutters,51-4121
"Cutters and Trimmers, Hand",51-9031
"Cutters and Trimmers, Meat, Fish, and Poultry",51-3022
"Cutters, Canvas ",51-6062
"Cutters, Fish",51-3022
"Cutters, Gear ",51-4034
"Cutters, Gem",51-9071
"Cutters, Hand",51-9031
"Cutters, Hand Cloth ",51-9031
"Cutters, Industrial Fabric ",51-6062
"Cutters, Insulation ",51-9032
"Cutters, Meat",51-3022
"Cutters, Poultry",51-3022
"Cutters, Pulpwood ",45-4021
"Cutters, Timber ",45-4021
"Cutting and Slicing Machine Setters, Operators, and Tenders",51-9032
Cutting Machine Operators,51-9032
"Cutting Machine Operators, Metal and Plastic",51-4031
Cutting Machine Setters,51-9032
"Cutting Machine Setters, Metal and Plastic",51-4031
Cutting Machine Tenders,51-9032
"Cutting Machine Tenders, Metal and Plastic",51-4031
Cutting Torch Operators,51-4121
Cutting Workers,51-9030
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",51-4031
Cytogenetic Technologists,29-2011
Dairy Bacteriologists,19-1012
Dairy Equipment Repairers,49-3041
Dairy Farm Managers,11-9013
Dairy Husbandry Workers,45-2021
Dairy Processing Equipment Operators,51-9012
Dairy Scientists,19-1011
Dairy Technologists,19-4011
Dance Artists,27-2031
Dance Directors,27-2032
Dance Masters,27-2032
Dancers,27-2031
Dancers and Choreographers,27-2030
"Dancers, Tap ",27-2031
Data Entry and Information Processing Workers,43-9020
Data Entry Keyers,43-9021
Data Input Clerks,43-9021
Data Processing Equipment Repairers,49-2011
Data Processing Systems Analysts,15-1121
Data Typists,43-9021
Database Administrators,15-1141
Database and Systems Administrators and Network Architects,15-1140
Database Developers,15-1132
Database Management System Specialists,15-1141
Database Security Administrators,15-1141
Daycare Providers,39-9011
"Dealers, Blackjack ",39-3011
"Dealers, Craps ",39-3011
"Dealers, Gaming",39-3011
"Dealers, Poker ",39-3011
"Dealers, Pulpwood ",41-4012
"Dealers, Roulette ",39-3011
Debt Collectors,43-3011
Debt Management Counselors,13-2071
Deckhands,53-5011
Decontamination Workers,47-4041
Decorating Workers,51-9123
"Decorators, China ",51-9123
"Decorators, Interior ",27-1025
"Decorators, Mannequin ",27-1026
"Decorators, Set ",27-1027
"Decorators, Window ",27-1026
Deep Tissue Massage Therapists,31-9011
Deer Hunters,45-3021
"Defenders, Public ",23-1011
Degreaser Operators,51-9192
Delicatessen Department Managers,41-1011
"Deliverers, Bakery ",53-3031
"Deliverers, Mail ",43-5052
"Deliverers, Motorcycle ",53-3099
Delivery Services Drivers,53-3033
Demographers,19-3099
Demonstrators,41-9011
Demonstrators and Product Promoters,41-9011
"Demonstrators, Home ",41-9011
"Demonstrators, In-Store ",41-9011
Dental Assistants,31-9091
Dental Ceramists,51-9081
Dental Hygienists,29-2020
Dental Hygienists,29-2021
Dental Laboratory Technicians,51-9081
Dental Secretaries,43-6013
Dental Surgeons,29-1022
Dentists,29-1020
"Dentists, All Other Specialists",29-1029
"Dentists, Dentofacial Orthopedics ",29-1023
"Dentists, Family ",29-1021
"Dentists, General",29-1021
"Dentists, Maxillofacial Prosthetics ",29-1024
"Dentists, Reconstructive ",29-1024
"Dentists, Research",19-1042
Dentofacial Orthopedics Dentists,29-1023
Deposition Reporters,23-2091
"Deputies, Certified Detention ",33-3012
Deputy Bailiffs,33-3011
Deputy United States Marshals,33-3021
Dermatologists,29-1069
"Derrick Operators, Gas",47-5011
"Derrick Operators, Oil",47-5011
"Derrick Operators, Oil and Gas",47-5011
"Derrick, Rotary Drill, and Service Unit Operators, Oil, Gas, and Mining",47-5010
Designers,27-1020
"Designers, All Other",27-1029
"Designers, Automobile ",27-1021
"Designers, Building Architectural ",17-1011
"Designers, Commercial",27-1021
"Designers, Computer Hardware ",17-2061
"Designers, Costume ",27-1022
"Designers, Dress ",27-1022
"Designers, Engine ",17-2141
"Designers, Exhibit",27-1027
"Designers, Fashion",27-1022
"Designers, Floral",27-1023
"Designers, Golf Course ",17-1012
"Designers, Graphic",27-1024
"Designers, Industrial",27-1021
"Designers, Interior",27-1025
"Designers, Kitchen ",27-1025
"Designers, Landscape ",17-1012
"Designers, Magazine ",27-1011
"Designers, Marine Structural ",17-2121
"Designers, Memorial Marker ",27-1029
"Designers, Network ",15-1143
"Designers, Package ",27-1021
"Designers, Set",27-1027
"Designers, Stage Scenery ",27-1027
"Designers, Survey Questionnaire ",19-3022
"Designers, Tool and Die ",17-3013
"Designers, Web ",15-1134
Desktop Publishers,43-9030
Desktop Publishers,43-9031
Desktop Publishing Specialists,43-9031
Desktop Support Specialists,15-1151
"Detailers, Auto ",53-7061
Detective Lieutenants,33-1012
Detectives,33-3021
Detectives and Criminal Investigators,33-3020
Detectives and Criminal Investigators,33-3021
"Detectives, First-Line Supervisors",33-1012
"Detectives, Homicide ",33-3021
"Detectives, Private",33-9021
"Detectives, Railroad  ",33-3052
"Detectives, Store ",33-9021
"Developers, Computer Hardware ",17-2061
"Developers, Database ",15-1132
"Developers, Internet ",15-1134
"Developers, Intranet",15-1134
"Developers, Network ",15-1143
"Developers, Software Applications",15-1132
"Developers, Software Systems",15-1133
"Developers, Web",15-1134
Development Managers,11-3131
Development Specialists,13-1151
Diabetes Educators,21-1091
Diagnostic Medical Sonographers,29-2032
Diagnostic Related Technologists and Technicians,29-2030
Dialysis Engineers,17-2031
Dialysis Technicians,29-2099
Diamond Polishers,51-9071
Diamond Setters,51-9071
Die Makers,51-4111
Diesel Engine Specialists,49-3031
Diesel Locomotive Firers,53-4012
Dietary Technicians,29-2051
Dietetic Technicians,29-2051
"Dieticians, Pediatric ",29-1031
Dietitians,29-1031
Dietitians and Nutritionists,29-1030
Dietitians and Nutritionists,29-1031
"Dietitians, Clinical ",29-1031
"Diggers, Construction Trench ",47-2061
Digital Cartographers,17-1021
Digital Photo Printers,51-9151
Digital Proofing and Platemakers,51-5111
Digital Watch Assemblers,51-2093
"Digitizers, Apparel Embroidery",51-6099
Dimmer Board Operators,27-4099
Dining Car Servers,35-3031
Dining Room and Cafeteria Attendants and Bartender Helpers,35-9010
Dining Room and Cafeteria Attendants and Bartender Helpers,35-9011
Dining Room Attendants,35-9011
Dining Room Hosts,35-9031
Dinkey Engine Firers,53-4012
Dinkey Operators,53-4013
Diplomatic Interpreters,27-3091
"Dippers, Acid ",51-9192
Direct Mail Clerks,43-9051
Directors,27-2012
"Directors, Advertising ",11-2011
"Directors, Agricultural Research ",11-9121
"Directors, Art",27-1011
"Directors, Banquet ",11-9051
"Directors, Casting ",27-2012
"Directors, Child Welfare ",11-9151
"Directors, Choral",27-2041
"Directors, Clinic ",11-9111
"Directors, Compensation ",11-3111
"Directors, Cruise ",39-7012
"Directors, Curriculum and Assessment ",25-9031
"Directors, Dance ",27-2032
"Directors, Disaster Response  ",11-9161
"Directors, Elementary School Band",25-2021
"Directors, Emergency Management",11-9161
"Directors, Employee Benefits ",11-3111
"Directors, Employee Development ",11-3131
"Directors, Family Service Center",11-9151
"Directors, Financial ",11-3031
"Directors, Food Service ",11-9051
"Directors, Fundraising ",11-2031
"Directors, Funeral",39-4031
"Directors, Funeral Home ",11-9061
"Directors, Head Start ",11-9031
"Directors, Information Technology Systems ",11-3021
"Directors, Instructional Material",25-9031
"Directors, Labor Relations ",11-3121
"Directors, Management Information Systems ",11-3021
"Directors, Manufacturing ",11-3051
"Directors, Marketing ",11-2021
"Directors, Mechanical Engineering ",11-9041
"Directors, Music",27-2041
"Directors, Preschool ",11-9031
"Directors, Promotions ",11-2011
"Directors, Public Affairs ",11-2031
"Directors, Public Safety ",11-9161
"Directors, Publicity ",11-2031
"Directors, Purchasing ",11-3061
"Directors, Records Management ",11-3011 
"Directors, Religious Activities",21-2021
"Directors, Religious Activities and Education",21-2020
"Directors, Religious Activities and Education",21-2021
"Directors, Religious Education",21-2021
"Directors, Sales ",11-2022
"Directors, Slot Operations ",11-9071
"Directors, Youth Ministry ",21-2021
"Directors, Youth Program ",11-9151
Directory Assistance Operators,43-2021
Disaster Response Directors,11-9161
Dish Room Workers,35-9021
Dishwashers,35-9020
Dishwashers,35-9021
"Dismantlers, Machinery ",49-9044
Dispatchers,43-5030
"Dispatchers, Ambulance",43-5031
"Dispatchers, Except Police, Fire, and Ambulance",43-5032
"Dispatchers, Fire",43-5031
"Dispatchers, Gas Plant ",51-8092
"Dispatchers, Police",43-5031
"Dispatchers, Police Radio ",43-5031
"Dispatchers, Power",51-8012
"Dispatchers, Taxicab ",43-5032
"Dispatchers, Tow Truck ",43-5032
"Dispatchers, Train ",43-5032
Dispensing Opticians,29-2081
Display Advertising Sales Representatives,41-3011
Display Artists,27-1026
"Displayers, Merchandise",27-1026
Distribution Center Managers,11-3071
Distribution Managers,11-3071
"Distributors, Power",51-8012
District Sales Managers,11-2022
"Divers, Commercial",49-9092
"Divers, Marine ",49-9092
"Divers, Salvage ",49-9092
"Divers, Scuba ",49-9092
Dividend Clerks,43-4011
Divinity Professors,25-1126
Dock Operations Supervisors,53-1031
Doctor of Veterinary Medicine (DVM),29-1131
Doctors of Optometry,29-1041
"Doctors, Foot ",29-1081
Document Clerks,43-4071
Document Conservators,25-4013
Documentation Writers,27-3042
"Doffers, Spinning ",53-7063
Dog Catchers,33-9011
Dog Groomers,39-2021
Doll Makers,51-2099
Donor Relations Officers,13-1131
Door-to-Door Sales Workers,41-9091
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",41-9091
Dormitory Counselors,39-9041
Dosimetrists,29-1124
Doughnut Machine Operators,51-3093
Drafters,17-3010
"Drafters, Aeronautical ",17-3013
"Drafters, All Other",17-3019
"Drafters, Architectural",17-3011
"Drafters, Automotive Design ",17-3013
"Drafters, Building ",17-3011
"Drafters, Civil",17-3011
"Drafters, Electrical",17-3012
"Drafters, Electrical Systems ",17-3012
"Drafters, Electronics",17-3012
"Drafters, Engineering Technicians, and Mapping Technicians",17-3000
"Drafters, Geological ",17-3019
"Drafters, Marine ",17-3019
"Drafters, Mechanical",17-3013
"Drafters, Printed Circuit Board ",17-3012
"Drafters, Structural ",17-3011
Dragline Operators,53-7032
"Drama Teachers, Postsecondary",25-1121
Drama Therapists,29-1125
Dramatic Readers,27-2011
Drawbridge Operators,53-6011
Drawing Frame Operators,51-6064
"Drawing Machine Operators, Metal and Plastic",51-4021
"Drawing Machine Setters, Metal and Plastic",51-4021
"Drawing Machine Tenders, Metal and Plastic",51-4021
Dredge Operators,53-7031
"Dredge, Excavating, and Loading Machine Operators",53-7030
Dredgers,53-7031
Dress Designers,27-1022
"Dressers, Theatrical Wardrobe ",39-3092
Dressing Room Attendants,39-3093
Dressmakers,51-6052
Drier Operators,51-9051
Drier Tenders,51-9051
Drill Press Operators for Metal,51-4032
"Drillers, Blast Hole ",47-5021
"Drillers, Churn ",47-5021
"Drillers, Earth, Except Oil and Gas",47-5021
"Drillers, Oil Well ",47-5012
"Drillers, Quarry Plug and Feather ",47-5051
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4032
"Drilling Machine Tool Operators, Metal and Plastic",51-4032
"Drilling Machine Tool Setters, Metal and Plastic",51-4032
"Drilling Machine Tool Tenders, Metal and Plastic",51-4032
Driver/Sales Workers,53-3031
Driver/Sales Workers and Truck Drivers,53-3030
Driver's License Examiners,13-1041
"Drivers, Ambulance, Except Emergency Medical Technicians",53-3011
"Drivers, Auto Carrier ",53-3032
"Drivers, Bus, Intercity",53-3021
"Drivers, Bus, School or Special Client",53-3022
"Drivers, Bus, Transit",53-3021
"Drivers, Cab ",53-3041
"Drivers, Cement Truck ",53-3032
"Drivers, Coal Tram ",53-4013
"Drivers, Courtesy Van ",53-3041
"Drivers, Delivery Services",53-3033
"Drivers, Emergency Medical Services (EMS)",53-3011
"Drivers, Hearse",53-3041
"Drivers, Light Truck ",53-3033
"Drivers, Limousine ",53-3041
"Drivers, Motor Coach Bus ",53-3021
"Drivers, Moving Van ",53-3032
"Drivers, Newspaper Delivery",53-3031
"Drivers, Pharmacy Delivery ",53-3033
"Drivers, Pizza Delivery ",53-3031
"Drivers, Public Transit Bus ",53-3021
"Drivers, Race Car ",27-2021
"Drivers, Rickshaw  ",53-6099
"Drivers, Special Education Bus ",53-3022
"Drivers, Taxi",53-3041
"Drivers, Vibratory Pile ",47-2072
Drug Abuse Social Workers,21-1023
Dry Cleaning Counter Clerks,41-2021
Dry Placer Machine Operators,47-5049
Dry Plasterer Helpers,47-3014
Dry-Cleaning Workers,51-6011
"Drying Machine Operators and Tenders, Food and Tobacco",51-3091
Drywall and Ceiling Tile Installers,47-2081
Drywall Finishers,47-2081
Drywall Hanger Helpers,47-3019
Drywall Installers,47-2081
"Drywall Installers, Ceiling Tile Installers, and Tapers",47-2080
Drywall Tapers,47-2082
Dumpling Machine Operators,51-3093
"Dusters, Aerial Crop",53-2012
"Dyers, Cloth ",51-6061
"Dyers, Rug ",51-6061
"Dyers, Skein Yarn ",51-6061
"Dynamicists, Fluid ",19-2012
Dynamiters,47-5031
Early Childhood Special Education Teachers,25-2051
Earth Auger Operators,47-5021
Earth Boring Machine Operators,47-5021
"Earth Drillers, Except Oil and Gas",47-5020
"Earth Drillers, Except Oil and Gas",47-5021
"Earth Sciences Teachers, Postsecondary",25-1051
Eastern Philosophy Professors,25-1126
Echocardiographers,29-2032
"Ecologists, Forest ",19-1032
"Ecologists, Range  ",19-1031
Econometricians,19-3011
Econometrics Professors,25-1063
Economic Geographers,19-3092
Economic Research Analysts,19-3011
Economic Research Assistants,19-4061
"Economics Teachers, Postsecondary",25-1063
Economists,19-3010
Economists,19-3011
"Economists, Environmental ",19-3011
"Economists, Home",25-9021
"Economists, Industrial ",19-3011
Editorial Assistants,43-9081
Editors,27-3041
"Editors, Advertising ",27-3041
"Editors, Copy ",27-3041
"Editors, Fan Mail ",43-4021
"Editors, Film",27-4032
"Editors, Sound ",27-4014
"Editors, Technical ",27-3041
"Editors, Television News Video ",27-4032
"Editors, Video",27-4032
Education Administrators,11-9030
"Education Administrators, All Other",11-9039
