BLS codes,Occupation Name,Category Label,Probability of Computerisation,Assisting and caring for others,Persuasion,Negotiation,Social perceptiveness,Fine arts,Originality,Manual dexterity,Finger dexterity,Cramped work space,Employment in Thousands,Income (Thousands USD),High school diploma or equivalent,Some college, no degree,Associate's degree,Bachelor's degree,Master's degree,Training set automatable labels
53-2021_,Air Traffic Controllers,12,0.1138,22,43,34,48,0,52,34,43,10,0.027,108.04,99.4,84.8,46.8,32.4,3.3,0.4,
27-2031_,Dancers,3,0.12712,25,39,29,43,76,50,30,21,27,0.0124,8.212,85.7,59.8,32.4,25.1,3.6,0.4,
29-2033_,Nuclear Medicine Technologists,4,0.12735,80,37,36,46,0,41,39,43,21,0.0219,68.56,99.5,90.5,68.9,23.9,4.5,2.3,
15-1133_,Software Developers Systems Software,2,0.12816,29,41,39,45,0,50,25,32,13,0.3923,94.18,99.7,97.2,87.9,82.5,32.6,3.8,
13-1111_,Management Analysts,1,0.12898,40,48,43,52,0,48,0,21,13,0.7188,78.16,99.4,94.4,81.9,77.2,36.1,7.2,
29-2051_,Dietetic Technicians,4,0.13065,56,39,32,46,0,43,36,36,50,0.0242,27.06,97.5,70,35.4,16.4,2.3,1,
19-3051_,Urban and Regional Planners,2,0.13067,21,55,46,50,0,52,0,34,7,0.0403,63.04,99.9,99.4,95.5,92.9,54.4,3.7,
21-1093_,Social and Human Service Assistants,3,0.13092,70,46,43,63,0,43,20,36,13,0.3842,28.2,97.6,83.2,62.3,52.8,14.9,1.4,
25-3021_,Self-Enrichment Education Teachers,3,0.13359,51,39,34,43,31,46,27,29,14,0.2528,36.34,97.9,85.7,66.5,58.4,23.4,3.5,
27-4014_,Sound Engineering Technicians,3,0.13406,33,43,43,43,61,48,41,45,33,0.019,47.08,97.7,78.8,49.7,35,4.7,0.7,
29-1041_,Optometrists,4,0.13727,67,48,37,52,0,43,0,61,18,0.0342,94.99,100,100,99.9,99.8,99.3,98.4,
17-2151_,Mining and Geological Engineers Including Mining Safety Engineers,2,0.14045,0,46,45,45,0,57,0,0,19,0.0064,82.87,100,91.9,83.9,75.3,24.6,4.8,
29-1071_,Physician Assistants,4,0.14484,85.5,45.5,43,55.5,0,39,38.5,44.5,32,0.0836,86.41,98.8,92.7,82.8,69.1,37.6,12,
25-2012_,Kindergarten Teachers Except Special Education,3,0.14511,54,43,45,50,30,46,0,25,4,0.1792,48.8,97.9,82.7,59,45.3,12.5,0.8,
47-2111_,Electricians,9,0.14768,33,43,37,43,0,46,50,54,70,0.577,48.25,91.3,51.6,20.2,7.2,1.3,0.5,
17-2171_,Petroleum Engineers,2,0.15728,17,45,50,52,0,52,0,34,11,0.0302,114.08,100,96.4,89.1,86,26.4,6.2,
43-9031_,Desktop Publishers,7,0.15929,19,46,39,46,43,52,37,43,4,0.0226,36.61,99.2,82.8,53.1,39.4,8,1.1,
11-1021_,General and Operations Managers,1,0.15946,51,50,50,52,0,46,32,39,8,1.7671,94.4,97.7,81.1,57,48.6,14.7,2.4,
29-9011_,Occupational Health and Safety Specialists,4,0.16558,47,55,46,50,0,45,13,37,33,0.0587,64.66,98.7,87.2,70.9,63.3,23.7,2.5,
33-2011_,Firefighters,5,0.16869,73.5,43,42,48,0,39,53,48,49.5,0.3104,45.25,99.1,78.9,37.4,18.1,1.9,0.4,
13-2061_,Financial Examiners,1,0.17046,26,48,46,54,0,50,0,25,10,0.0293,74.94,99.7,93.3,84.3,79.2,20.7,1.8,
47-1011_,First-Line Supervisors of Construction Trades and Extraction Workers,9,0.17336,46,46,45,50,0,45,39,43,34,0.5585,58.68,84.7,42.1,17.1,10.5,1.7,0.4,
25-2022_,Middle School Teachers Except Special and Career/Technical Education,3,0.17413,47,46,48,52,35,46,0,29,15,0.6417,51.96,99.8,99.6,96.7,94.7,47.8,2.9,
27-3031_,Public Relations Specialists,3,0.17529,27,50,48,55,26,50,0,25,6,0.2581,52.09,99.4,94,82.8,78.5,22.3,3.6,
49-9092_,Commercial Divers,10,0.17905,47,36,36,39,0,43,48,50,63,0.0038,51.36,96.2,58.7,29.3,13.7,0.8,0.3,
49-9095_,Manufactured Building and Mobile Home Installers,10,0.17921,54,43,39,39,0,41,50,50,73,0.0078,28.76,66,19.9,5.3,2.6,0.4,0.1,
53-2011_,Airline Pilots Copilots and Flight Engineers,12,0.18131,38,39,39,48,0,45,45,45,57,0.0708,103.21,99.5,94.6,81.2,72.6,12.9,1.3,
25-3011_,Adult Basic and Secondary Education and Literacy Teachers and Instructors,3,0.18642,50,46,43,50,23,46,0,29,5,0.0869,46.53,97.9,85.7,66.5,58.4,23.4,3.5,
19-1041_,Epidemiologists,2,0.20065,26,46,45,50,0,50,0,32,3,0.005,63.01,99.8,99.6,99,98.6,92.8,63.9,
39-4831_,Funeral Service Managers Directors Morticians and Undertakers,5,0.20323,74,54,50,64,15,41,39,39,14,0.0293,54.33,98.6,88.7,67.8,37.9,9.2,4.7,
15-1179_,Information Security Analysts Web Developers and Computer Network Architects,2,0.20576,27.3333,45.6667,40.3333,43.3333,11,48.6667,25.6667,41.6667,19.3333,0.3023,75.66,99.4,91.7,69.5,56.6,13.4,1.3,
15-2011_,Actuaries,2,0.2059,16,54,45,48,0,52,0,30,0,0.0217,87.65,99.8,99.8,98.6,97.5,33.7,11.6,
33-9011_,Animal Control Workers,5,0.21049,51,43,36,43,0,43,45,36,43,0.0155,32.05,93,54,21.3,11.5,1.5,0.6,
39-6012_,Concierges,5,0.21345,63,39,37,43,25,43,16,27,11,0.0203,27.86,86.7,51.6,23.7,17.2,2.4,0.5,0
15-1799_,Computer Occupations All Other,2,0.2161,23.625,44,39.125,45.125,11.375,50,20.875,36.875,6.125,0.2097,79.24,99.5,93.3,76.1,65.5,21,2.5,
15-2041_,Statisticians,2,0.21839,18,40.3333,32,44,0,51.3333,0,27.6667,1,0.0251,72.83,99.6,99.5,94.2,91,61.9,22.3,
17-2061_,Computer Hardware Engineers,2,0.22477,23,45,36,43,0,50,27,39,6,0.07,98.81,99.8,94.1,81.9,71.3,28,3.9,
19-3022_,Survey Researchers,2,0.23112,24,46,41,50,0,50,13,32,2,0.0196,36.05,99.6,95.2,84.1,79,29.8,3.8,
13-1199_,Business Operations Specialists All Other,1,0.23168,28.3333,47.6667,44.3333,45.3333,0,47.6667,12.3333,35.3333,27.6667,1.0642,62.45,97.9,82.3,59.2,48.5,15.3,2.6,
13-2051_,Financial Analysts,1,0.2325,35,48,45,43,0,48,0,25,4,0.236,74.35,99.5,95.8,87.4,84.3,37.4,5.9,
29-2037_,Radiologic Technologists and Technicians,4,0.2333,81,37.3333,33.3333,46.3333,0,38,43,46.6667,28.6667,0.2199,54.34,99.5,90.5,68.9,23.9,4.5,2.3,
29-2031_,Cardiovascular Technologists and Technicians,4,0.23496,89,34,36,45,0,36,39,41,34,0.0494,49.41,99.5,90.5,68.9,23.9,4.5,2.3,
13-1011_,Agents and Business Managers of Artists Performers and Athletes,1,0.24285,48,59,57,46,54,46,14,27,0,0.0241,63.13,96.8,83,62.1,56,14.8,4.3,
17-3029_,Engineering Technicians Except Drafters All Other,2,0.24293,34.625,43,36.75,42,0,46.25,39,45.625,31.125,0.0706,58.02,96.4,73.4,40.1,17.2,2.8,0.5,
19-3092_,Geographers,2,0.24638,21,41,37,46,0,50,0,23,7,0.0016,72.8,100,99.8,93.7,89.8,53.1,16.2,
29-9012_,Occupational Health and Safety Technicians,4,0.24828,52,45,39,45,0,43,27,36,33,0.0106,45.33,98.7,87.2,70.9,63.3,23.7,2.5,
21-1092_,Probation Officers and Correctional Treatment Specialists,3,0.25085,49,55,48,64,0,45,14,21,11,0.0932,47.2,97.6,83.2,62.3,52.8,14.9,1.4,
17-3025_,Environmental Engineering Technicians,2,0.25134,32,41,39,43,0,46,41,41,41,0.0188,43.39,96.4,73.4,40.1,17.2,2.8,0.5,
11-9199_,Managers All Other,1,0.25227,37.75,51.75,49.5,53.5,0,46.75,8.5,25,13,0.8281,96.45,97.2,82,62,54.1,19.7,3.5,
53-3011_,Ambulance Drivers and Attendants Except Emergency Medical Technicians,12,0.25245,82,37,39,41,0,36,46,41,43,0.0196,22.94,83.9,47.6,21.2,12,2.6,1,
41-4011_,Sales Representatives Wholesale and Manufacturing Technical and Scientific Products,6,0.25391,30.5,58.5,52.5,50,0,47.5,2.5,32,20,0.4,73.71,97,78.7,55.2,47.1,7.3,0.7,
25-2023_,Career/Technical Education Teachers Middle School,3,0.25797,47,39,39,50,20,45,30,34,15,0.0144,51.47,99.8,99.6,96.7,94.7,47.8,2.9,
53-5021_,Captains Mates and Pilots of Water Vessels,12,0.26593,52.6667,39.6667,39.3333,44,0,41.6667,41.6667,41.6667,46.6667,0.0361,64.18,86.4,46.4,24.5,19.6,3.4,1.1,
31-2012_,Occupational Therapy Aides,5,0.27295,77,43,34,48,0,39,36,41,18,0.0075,27.43,99.4,97.2,85.9,14.7,3,0.5,
49-9062_,Medical Equipment Repairers,10,0.27477,42,46,37,39,0,43,52,57,55,0.0379,44.49,95.3,72.4,41.2,19.5,4,1,
41-1011_,First-Line Supervisors of Retail Sales Workers,6,0.27918,36,54,52,54,13,46,34,37,25,1.6195,35.82,93.4,61.3,33.6,24.7,4.1,0.8,
27-2021_,Athletes and Sports Competitors,3,0.28286,49,34,32,43,0,45,45,43,6,0.0165,43.74,98.1,87.5,67.5,60.5,17.7,1.7,0
39-1011_,Gaming Supervisors,5,0.28342,54,45,48,55,0,43,0,9,22,0.0361,48.53,95.2,67.7,39.7,30.6,5.8,0.9,
39-5094_,Skincare Specialists,5,0.28772,65,36,34,41,0,41,41,41,20,0.0476,28.92,79.7,41.7,18.1,10.6,1.6,0.6,
13-1022_,Wholesale and Retail Buyers Except Farm Products,1,0.29078,30,57,55,52,0,48,18,30,7,0.122,49.65,95.8,69.5,42.1,32.6,4.2,0.6,
19-4021_,Biological Technicians,2,0.29909,23,39,23,37,0,48,41,48,24,0.0802,39.02,97.7,79.6,63.8,55.4,18.4,9.4,
31-9092_,Medical Assistants,5,0.3003,77,43,41,48,0,39,25,41,13,0.5276,28.86,95.2,66.3,28.2,11.6,2.6,1.2,
19-1023_,Zoologists and Wildlife Biologists,2,0.30331,38,43,45,45,0,46,29,43,16,0.0198,57.43,99.9,99.9,97.2,94.4,50,21.2,0
35-2013_,Cooks Private Household,5,0.30468,23,41,29,39,8,48,48,43,23,0.0036,25.57,66.6,24,8.9,4.7,0.6,0.1,
13-1078_,Human Resources Training and Labor Relations Specialists All Other,1,0.30678,48,45,45,55,0,45,0,27,5,0.4422,52.69,98.5,85.4,62.2,53,15.1,1.9,
33-9021_,Private Detectives and Investigators,5,0.30895,25,45,43,48,0,46,29,39,49,0.0347,42.87,98.9,85,60.3,49.8,12.7,2.6,
27-4032_,Film and Video Editors,3,0.31459,16,41,37,37,48,50,32,43,7,0.0316,50.93,98.1,88.5,64.8,56.3,6.8,0.7,
13-2099_,Financial Specialists All Other,1,0.33113,27.5,49,44.5,44.5,0,48,0,30.5,7,0.1649,60.98,98.3,83.5,62.5,53,17.4,3,
33-3021_,Detectives and Criminal Investigators,5,0.33592,49.2,45.4,45.4,49.4,1.6,42.4,31.4,36.6,34.8,0.1194,68.82,99.6,90.1,64.5,52.6,11.7,1.8,
29-2055_,Surgical Technologists,4,0.33964,81,36,32,48,0,34,54,54,43,0.0936,39.92,97.5,70,35.4,16.4,2.3,1,
29-1124_,Radiation Therapists,4,0.34413,79,37,32,52,0,36,41,46,31,0.0169,74.98,99.9,97.7,85.2,43,5.5,2.7,
47-2152_,Plumbers Pipefitters and Steamfitters,9,0.35043,43.5,37,36.5,38.5,0,41,48,49,64,0.4199,46.66,81,33.7,10.4,4.4,0.8,0.2,0
53-2031_,Flight Attendants,12,0.3516,71,39,37,46,0,29,37,37,82,0.0905,37.74,95.4,72.3,40.6,29.7,3.4,0.6,0
29-2032_,Diagnostic Medical Sonographers,4,0.35263,74,43,36,48,0,36,43,45,41,0.0537,64.38,99.5,90.5,68.9,23.9,4.5,2.3,
33-3011_,Bailiffs,5,0.35935,55,36,37,46,0,13,14,18,14,0.0178,38.57,98.3,62.7,24.8,12.1,1.4,0.2,
51-4012_,Computer Numerically Controlled Machine Tool Programmers Metal and Plastic,11,0.36076,36,36,34,39,0,45,36,43,28,0.0166,45.9,90.6,46.1,17.3,6.3,1,0.3,
49-2022_,Telecommunications Equipment Installers and Repairers Except Line Installers,10,0.36094,38,41,34,37,0,41,46,50,75,0.1949,54.71,96.4,65.1,29.4,12.5,1.4,0.1,
51-9051_,Furnace Kiln Oven Drier and Kettle Operators and Tenders,11,0.36717,35,20,25,34,0,13,39,38,61,0.0204,34.4,85.9,35.2,11.5,5.9,0.5,0,
53-7061_,Cleaners of Vehicles and Equipment,12,0.36756,41,13,16,27,0,13,38,0,37,0.3106,19.68,63.8,20.8,7.2,3.5,0.4,0.1,
39-4021_,Funeral Attendants,5,0.3726,71,25,20,45,0,16,20,7,14,0.031,22.99,90.5,57.3,32.4,18.9,6.6,2.2,
47-5081_,Helpers--Extraction Workers,9,0.37305,56,30,32,34,0,36,43,46,79,0.0246,34.17,71.4,24.8,6.8,3.3,0.6,0,
27-2011_,Actors,3,0.37445,34,43,36,52,83,46,21,25,16,0.0665,8.212,96.9,87.2,66.4,59.7,13.9,1.4,
53-7111_,Mine Shuttle Car Operators,12,0.37495,53,18,18,30,0,20,43,23,84,0.0031,48.11,82.9,33,11.5,6.2,0,0,
49-2095_,Electrical and Electronics Repairers Powerhouse Substation and Relay,10,0.37557,57,32,34,39,0,39,45,48,50,0.0234,65.23,97.8,63.1,30.4,10,1.8,0.6,
17-1022_,Surveyors,2,0.37609,38.5,20.5,34,41,0,44.5,33.5,41,27,0.0512,54.88,99.9,99.7,86,75.2,15,2.2,1
17-3027_,Mechanical Engineering Technicians,2,0.37888,30,39,41,45,0,45,45,46,40,0.0449,50.11,96.4,73.4,40.1,17.2,2.8,0.5,
53-7064_,Packers and Packagers Hand,12,0.37889,51,14,14,23,0,14,50,37,18,0.6773,19.63,59.1,18.5,6.9,3.9,0.6,0.2,
27-3091_,Interpreters and Translators,3,0.38353,61,32,29,50,22,41,9,32,16,0.0584,43.3,96.7,85,62.2,48.1,18,4.5,
31-1011_,Home Health Aides,5,0.38514,63,39,41,48,5,39,34,37,34,1.0177,20.56,83.6,43.6,15.2,8.1,2.2,1,
51-6093_,Upholsterers,11,0.38608,35,36,27,34,0,45,54,57,27,0.0469,29.96,67.1,23.1,8,4.2,0.7,0.1,
47-4021_,Elevator Installers and Repairers,9,0.38798,36,36,34,37,0,41,46,46,75,0.0199,70.91,96,50.1,18.4,7.6,1.1,0.6,
43-3041_,Gaming Cage Workers,7,0.38911,39,0,39,37,0,0,27,30,53,0.0159,25.69,93.2,50.4,20.8,11,1.7,0.7,
25-9011_,Audio-Visual and Multimedia Collections Specialists,3,0.38934,27,32,30,41,36,46,30,43,31,0.0084,42.71,99.5,95.1,85.4,80.3,53.7,8.8,
23-1023_,Judges Magistrate Judges and Magistrates,3,0.40124,41,59,59,59,0,45,0,20,10,0.034,119.27,99.9,99.8,99.8,99.8,99,96.5,0
49-3042_,Mobile Heavy Equipment Mechanics Except Engines,10,0.40473,43,39,30,41,0,37,54,55,94,0.1246,44.83,84.7,37.2,13.5,3.8,0.6,0.1,
29-2799_,Health Technologists and Technicians All Other,4,0.40491,75,48,43,46,0,39,43,48,0,0.0935,38.46,97.3,75,42.8,28.5,10.1,5.2,
45-2041_,Graders and Sorters Agricultural Products,8,0.40681,24,21,18,27,0,0,41,36,18,0.0482,19.18,42,15.4,6.7,4.2,0.9,0.3,
51-2041_,Structural Metal Fabricators and Fitters,11,0.40787,22,29,21,34,0,0,46,39,37,0.0809,34.53,87.2,35.5,12.4,6.1,0.8,0.1,
23-1012_,Judicial Law Clerks,3,0.40884,41,48,45,46,0,45,0,23,9,0.0298,39.78,98.2,79.3,52,38.6,10.9,4.1,1
49-2094_,Electrical and Electronics Repairers Commercial and Industrial Equipment,10,0.41381,43,41,36,39,0,41,50,55,56,0.0691,51.82,97.8,63.1,30.4,10,1.8,0.6,
19-4093_,Forest and Conservation Technicians,2,0.41548,42,37,34,46,0,43,43,37,34,0.0365,33.39,97.4,79.4,55.5,43.5,14.2,4.2,
53-1021_,First-Line Supervisors of Helpers Laborers and Material Movers Hand,12,0.42249,33,50,52,50,0,45,36,36,27,0.1674,43.8,91.6,55.6,25.8,17,2.5,0.3,
39-3093_,Locker Room Coatroom and Dressing Room Attendants,5,0.42594,36,32,29,37,0,13,21,20,6,0.0176,19.45,91,58.9,31.8,23.5,5.6,1,
19-2099_,Physical Scientists All Other,2,0.42828,19,45,39,43,0,48,32,41,13,0.0303,94.78,99.9,99.8,99,98,73.5,52.6,
19-3011_,Economists,2,0.42888,17,25,18.5,43.5,0,49,0,20.5,1,0.0154,89.45,100,99.4,99.4,99.1,74.3,33.4,0
19-3093_,Historians,2,0.43851,0,46,0,48,0,0,18,0,60,0.004,53.52,100,99.8,93.7,89.8,53.1,16.2,
51-9082_,Medical Appliance Technicians,11,0.44629,60,34,30,45,0,41,45,52,10,0.0142,35.67,93.4,60.2,28.8,13.9,2.9,1.6,
43-4031_,Court Municipal and License Clerks,7,0.45526,33.6667,22.6667,37,40,0,14.3333,12.3333,26.3333,15,0.1295,34.39,98.2,66.4,32.1,19.6,4.1,1.9,
13-1141_,Compensation Benefits and Job Analysis Specialists,1,0.46764,22,50,46,55,0,48,18,36,0,0.1095,57,98.5,85.4,62.2,53,15.1,1.9,
31-1013_,Psychiatric Aides,5,0.46766,75,39,37,59,0,37,30,36,11,0.0677,24.95,83.6,43.6,15.2,8.1,2.2,1,
29-2012_,Medical and Clinical Laboratory Technicians,4,0.47452,59,32,34,37,0,39,45,48,32,0.1612,36.28,98.6,87.8,70,52.9,8,2.6,
33-2021_,Fire Inspectors and Investigators,5,0.47637,49,22.5,36.5,43.5,0,39,35,36.5,55,0.0136,52.23,98.1,74.2,40.7,24.4,4.3,0.4,
17-3021_,Aerospace Engineering and Operations Technicians,2,0.47802,36,36,36,41,0,43,39,45,40,0.0087,58.08,96.4,73.4,40.1,17.2,2.8,0.5,
27-1026_,Merchandise Displayers and Window Trimmers,3,0.48044,0,37,30,41,25,46,39,45,68,0.0912,25.96,97.3,84.6,65,51.1,8,1,
47-5031_,Explosives Workers Ordnance Handling Experts and Blasters,9,0.48047,39,37,37,39,0,43,59,50,33,0.0068,43.73,88.9,45.6,15.4,6.4,0.4,0.1,
15-1131_,Computer Programmers,2,0.4807,14,37,30,43,0,48,20,29,16,0.3631,71.38,99.5,94.4,79.8,69.8,19.9,2.2,
33-9091_,Crossing Guards,5,0.48599,62,27,21,41,0,18,32,25,1,0.0693,23.61,76.2,31.7,10.5,4.9,1.4,0.2,
17-2021_,Agricultural Engineers,2,0.4877,26,48,43,45,0,46,0,37,20,0.0027,71.09,100,96.4,91.1,84.9,24.1,5.5,
47-5061_,Roof Bolters Mining,9,0.49033,50,25,25,30,0,25,54,38,87,0.0057,49.85,86.2,24.5,8,2,0.8,0.8,
49-9052_,Telecommunications Line Installers and Repairers,10,0.49034,48,36,34,39,0,36,45,45,78,0.1606,50.85,94.3,55.4,20.9,8.7,0.9,0.1,
43-5031_,Police Fire and Ambulance Dispatchers,7,0.49187,68,46,39,50,0,37,25,43,26,0.1001,35.37,94.2,57.2,21.2,10.8,1,0,
53-7033_,Loading Machine Operators Underground Mining,12,0.49778,23,27,27,32,0,18,50,41,77,0.0039,45.91,73.2,21.7,8.1,4.2,0.5,0.2,
49-9799_,Installation Maintenance and Repair Workers All Other,10,0.50082,49,32,27,29,0,39,43,43,52,0.1436,36.42,83.5,43.1,17.7,9.1,1.7,0.5,
23-2091_,Court Reporters,3,0.50169,11,18,21,32,0,13,29,41,10,0.022,47.7,98.2,79.3,52,38.6,10.9,4.1,
41-9011_,Demonstrators and Product Promoters,6,0.51266,31,54,37,45,0,46,13,34,5,0.0901,23.11,86.3,49.5,24.4,17.4,4.1,0.5,
31-9091_,Dental Assistants,5,0.51441,68,37,37,41,0,34,43,46,44,0.2972,33.47,96.5,64.7,25.2,9.3,2.9,2.3,
51-6041_,Shoe and Leather Workers and Repairers,11,0.52217,0,30,20,32,0,13,43,43,15,0.0102,23,72.9,32.3,13.7,8.1,1.3,0.2,
17-3011_,Architectural and Civil Drafters,2,0.52332,26,35,37.5,41,16,46.5,27.5,41,7.5,0.0927,46.43,98.4,85.9,56.3,24.5,4.2,0.6,
47-5012_,Rotary Drill Operators Oil and Gas,9,0.53018,49,41,39,39,0,38,48,45,57,0.0225,51.98,75.3,27,8.8,4.4,0.7,-1.42E-14,
47-4041_,Hazardous Materials Removal Workers,9,0.53472,59,36,36,41,0,38,45,41,34,0.0381,37.6,80,41,18,9.9,2.3,0.4,
39-4011_,Embalmers,5,0.53569,71,34,36,59,20,36,46,46,20,0.0071,43.48,90.5,57.3,32.4,18.9,6.6,2.2,
47-5041_,Continuous Mining Machine Operators,9,0.54061,43,29,25,27,0,30,45,41,98,0.0139,48.75,83.4,29.4,7.8,3.4,0.3,0.1,
39-1012_,Slot Supervisors,5,0.5408,49,37,39,39,0,23,34,34,67,0.0189,26.63,95.2,67.7,39.7,30.6,5.8,0.9,
31-9011_,Massage Therapists,5,0.54141,69,36,32,45,0,37,46,41,16,0.1537,34.9,98.2,81.3,45.9,30.6,8.1,3.9,
41-3011_,Advertising Sales Agents,6,0.5418,31,63,55,52,12,46,0,34,1,0.1604,45.35,98.2,84.7,62.1,54,6.9,0.7,
49-3022_,Automotive Glass Installers and Repairers,10,0.54631,53,36,32,36,0,32,43,43,78,0.0181,33.16,79.1,29.5,8.2,4.7,0.4,0.2,
53-2012_,Commercial Pilots,12,0.54637,36,45,39,43,0,41,45,45,54,0.0327,67.5,99.5,94.6,81.2,72.6,12.9,1.3,
43-4051_,Customer Service Representatives,7,0.55149,55,50,46.5,49,7.5,41,6.5,33,9.5,2.1873,30.46,95.7,65.5,32.6,22,3.1,0.4,
27-4011_,Audio and Video Equipment Technicians,3,0.55172,28,37,37,41,34,45,43,43,22,0.0612,40.54,97.7,78.8,49.7,35,4.7,0.7,
25-9041_,Teacher Assistants,3,0.55672,57,39,34,45,14,41,0,27,3,1.2883,23.22,97,63.6,32.8,19.1,3.4,0.3,
45-1011_,First-Line Supervisors of Farming Fishing and Forestry Workers,8,0.56511,42,39,45.5,52,0,41.5,43.75,39.75,34.25,0.047,41.8,69.4,35.7,20.1,14.6,2.7,0.7,
19-4031_,Chemical Technicians,2,0.56585,43,34,36,37,0,43,41,46,13,0.061,42.04,95.9,69.4,44.7,32.4,7.8,3.2,
47-3015_,Helpers--Pipelayers Plumbers Pipefitters and Steamfitters,9,0.56644,54,23,23,30,0,29,41,41,76,0.0579,26.74,56.2,19.9,6.9,3.6,0.6,0.1,
13-1051_,Cost Estimators,1,0.56857,27,54,0,46,0,46,0,30,7,0.1854,57.86,96.2,72.5,42.3,30.8,3.7,0.3,1
33-3052_,Transit and Railroad Police,5,0.5694,60,48,45,45,0,38,36,39,27,0.0036,54.33,97,75,41.7,29.4,4.1,0.2,
37-1012_,First-Line Supervisors of Landscaping Lawn Service and Groundskeeping Workers,5,0.57173,35,45,43,50,0,43,43,39,31,0.2029,41.86,80.6,49.1,26.2,17.4,1.9,0.3,
13-2052_,Personal Financial Advisors,1,0.58151,47,52,41,48,0,43,0,27,0,0.2068,64.75,99.6,95.4,83.3,78.4,26.7,5.2,
49-9044_,Millwrights,10,0.58686,38,39,39,37,0,37,52,50,77,0.0365,48.36,89.9,44.3,13.6,3.7,0.6,0.1,
25-4013_,Museum Technicians and Conservators,3,0.58774,20,36,36,43,65,45,45,48,33,0.0119,37.31,99,93.2,84.3,80.3,47.8,9,
47-5042_,Mine Cutting and Channeling Machine Operators,9,0.59084,49,32,30,30,0,30,46,39,81,0.007,44.95,83.4,29.4,7.8,3.4,0.3,0.1,
11-3071_,Transportation Storage and Distribution Managers,1,0.5911,36.3333,49.3333,50.6667,53.6667,0,44.3333,9,25.6667,7.3333,0.0986,80.21,94.1,62.1,34.3,25.6,5.5,0.5,0
49-3092_,Recreational Vehicle Service Technicians,10,0.59126,30,37,39,39,0,36,54,50,93,0.0099,32.57,69.6,23.9,8.2,4.1,0.6,0.2,
49-3023_,Automotive Service Technicians and Mechanics,10,0.59361,33.5,37.5,31.5,32,0,37.5,53,54.5,80,0.7234,35.79,80.3,34.9,14,3.9,0.6,0.2,
33-3012_,Correctional Officers and Jailers,5,0.59674,70,48,46,52,0,36,39,39,13,0.4753,39.04,98.3,62.7,24.8,12.1,1.4,0.2,
27-4031_,Camera Operators Television Video and Motion Picture,3,0.59735,21,39,29,45,28,45,39,43,30,0.0268,40.39,98.1,88.5,64.8,56.3,6.8,0.7,
51-3023_,Slaughterers and Meat Packers,11,0.60326,35,20,21,27,0,18,45,45,16,0.0891,23.38,62,20.3,6.5,2.9,0.4,0.2,
49-2096_,Electronic Equipment Installers and Repairers Motor Vehicles,10,0.60556,31,34,34,41,0,38,46,50,79,0.016,28.45,88.8,56.1,22.1,7.4,1.5,0.4,
31-2022_,Physical Therapist Aides,5,0.60727,69,34,30,50,0,32,36,36,36,0.047,23.68,97.9,85.3,69.5,20.3,3.7,1.1,
39-3092_,Costume Attendants,5,0.60932,49,34,30,37,43,41,41,45,18,0.0055,29.15,91,58.9,31.8,23.5,5.6,1,
13-1161_,Market Research Analysts and Marketing Specialists,1,0.61294,26,48,39,48,0,46,0,32,3,0.2827,60.57,99.6,95.2,84.1,79,29.8,3.8,1
43-4181_,Reservation and Transportation Ticket Agents and Travel Clerks,7,0.61347,60,45,43,41,0,38,27,36,21,0.1243,31.74,96.9,70.7,37.4,26.8,3.9,0.4,
51-8031_,Water and Wastewater Treatment Plant and System Operators,11,0.61379,55,32,30,39,0,34,39,37,59,0.1107,40.77,96,52.6,20.4,9.3,1.2,0.3,
19-4099_,Life Physical and Social Science Technicians All Other,2,0.614,29,39,37.3333,41.6667,0,44.6667,35.6667,41,16.6667,0.062,43.35,97.4,79.4,55.5,43.5,14.2,4.2,
51-3093_,Food Cooking Machine Operators and Tenders,11,0.61408,41,20,23,36,0,20,37,34,35,0.0323,23.38,70.7,27.8,10.1,5.5,0.1,0,
51-4122_,Welding Soldering and Brazing Machine Setters Operators and Tenders,11,0.61408,18,30,29,34,0,18,45,46,39,0.0415,33.81,76.6,26.3,7.4,2.4,0.4,0.2,
53-5022_,Motorboat Operators,12,0.61563,57,32,34,41,0,36,46,46,44,0.0031,38.51,86.4,46.4,24.5,19.6,3.4,1.1,1
47-2082_,Tapers,9,0.61616,27,25,21,30,0,20,41,46,56,0.0229,45.49,53.9,15.3,4.5,2.1,0.3,0.1,
47-2151_,Pipelayers,9,0.62437,53,29,27,39,0,25,45,39,57,0.0531,34.8,81,33.7,10.4,4.4,0.8,0.2,
19-2042_,Geoscientists Except Hydrologists and Geographers,2,0.62712,29,43,39,45,0,45,0,34,10,0.0338,82.5,99.8,99.6,96,93.7,45.6,10,
49-9012_,Control and Valve Installers and Repairers Except Mechanical Door,10,0.62737,34,23,23,39,0,36,46,45,83,0.0438,48.43,90.9,47.6,16.5,5.5,0.4,0.1,
31-9799_,Healthcare Support Workers All Other,5,0.63011,70.3333,37.6667,35,47.3333,0,33.3333,36.3333,44,23.6667,0.2023,30.28,95.2,66.3,28.2,11.6,2.6,1.2,
35-1012_,First-Line Supervisors of Food Preparation and Serving Workers,5,0.63179,31,43,45,52,0,43,36,37,32,0.8011,29.56,85.9,47.6,21.3,13.6,1.9,0.5,
47-4011_,Construction and Building Inspectors,9,0.63316,27,43,39,43,0,41,23,34,59,0.1024,52.36,96.8,69.8,36.3,23.2,3.2,0.5,
